word,ipa,prediction
estadísticamente,e s t a ˌd i s t i k a ˈm e n t e,e s t a ˌd i s t i k a ˈm e n t e
roca,ˈr o k a,ˈr o k a
columbrado,k o l u m ˈb ɾ a d o,k o l u m ˈb ɾ a d o
lamela,l a ˈm e l a,l a ˈm e l a
lavando,l a ˈb a n d o,l a ˈb a n d o
grato,ˈɡ ɾ a t o,ˈɡ ɾ a t o
penco,ˈp e n k o,ˈp e n k o
envolver,e m b o l ˈb e ɾ,e m b o l ˈb e ɾ
mixturamos,m i ɡ s t u ˈɾ a m o s,m i ɡ s t u ˈɾ a m o s
fibroso,f i ˈb ɾ o s o,f i ˈb ɾ o s o
hiladora,i l a ˈd o ɾ a,i l a ˈd o ɾ a
vivaqueada,b i b a k e ˈa d a,b i b a k e ˈa d a
bufónico,b u ˈf o n i k o,b u ˈf o n i k o
caricatures,k a ɾ i k a ˈt u ɾ e s,k a ɾ i k a ˈt u ɾ e s
granjeada,ɡ ɾ a n x e ˈa d a,ɡ ɾ a n x e ˈa d a
Laurel,l a u ˈɾ e l,l a u ˈɾ e l
enviar,e m ˈb j a ɾ,e m ˈb j a ɾ
hipogastrio,i p o ˈɡ a s t ɾ j o,i p o ˈɡ a s t ɾ j o
periquitos,p e ɾ i ˈk i t o s,p e ɾ i ˈk i t o s
playas,ˈp l a ʝ a s,ˈp l a ʝ a s
abreviara,a b ɾ e ˈb j a ɾ a,a b ɾ e ˈb j a ɾ a
desclasificado,d e s k l a s i f i ˈk a d o,d e s k l a s i f i ˈk a d o
follable,f o ˈʝ a b l e,f o ˈʝ a b l e
desembrujada,d e s e m b ɾ u ˈx a d a,d e s e m b ɾ u ˈx a d a
aguador,a ɡ w a ˈd o ɾ,a ɡ w a ˈd o ɾ
palatino,p a l a ˈt i n o,p a l a ˈt i n o
estriada,e s ˈt ɾ j a d a,e s ˈt ɾ j a d a
guiñadas,ɡ i ˈɲ a d a s,ɡ i ˈɲ a d a s
hemínico,e ˈm i n i k o,e ˈm i n i k o
gobernados,ɡ o b e ɾ ˈn a d o s,ɡ o b e ɾ ˈn a d o s
pendíamos,p e n ˈd i a m o s,p e n ˈd i a m o s
ponchadora,p o n t͡ʃ a ˈd o ɾ a,p o n t͡ʃ a ˈd o ɾ a
hilandera,i l a n ˈd e ɾ a,i l a n ˈd e ɾ a
atemos,a ˈt e m o s,a ˈt e m o s
Yara,ˈʝ a ɾ a,ˈʝ a ɾ a
concuñada,k o n k u ˈɲ a d a,k o n k u ˈɲ a d a
hipertensión,i p e ɾ t e n ˈs j o n,i p e ɾ t e n ˈs j o n
administráramos,a d m i n i s ˈt ɾ a ɾ a m o s,a d m i n i s ˈt ɾ a ɾ a m o s
pájaros,ˈp a x a ɾ o s,ˈp a x a ɾ o s
optrónico,o b ˈt ɾ o n i k o,o b ˈt ɾ o n i k o
emolientero,e m o l j e n ˈt e ɾ o,e m o l j e n ˈt e ɾ o
alguien,ˈa l ɡ j e n,ˈa l ɡ j e n
cabreada,k a b ɾ e ˈa d a,k a b ɾ e ˈa d a
Alexandrescu,a l e ɡ s a n ˈd ɾ e s k u,a l e ɡ s a n ˈd ɾ e s k u
amplificado,a m p l i f i ˈk a d o,a m p l i f i ˈk a d o
bifurcado,b i f u ɾ ˈk a d o,b i f u ɾ ˈk a d o
colador,k o l a ˈd o ɾ,k o l a ˈd o ɾ
ballesta,b a ˈʝ e s t a,b a ˈʝ e s t a
cagona,k a ˈɡ o n a,k a ˈɡ o n a
varsoviano,b a ɾ s o ˈb j a n o,b a ɾ s o ˈb j a n o
completamos,k o m p l e ˈt a m o s,k o m p l e ˈt a m o s
monárquica,m o ˈn a ɾ k i k a,m o ˈn a ɾ k i k a
consultar,k o n s u l ˈt a ɾ,k o n s u l ˈt a ɾ
licopodio,l i k o ˈp o d j o,l i k o ˈp o d j o
pastes,ˈp a s t e s,ˈp a s t e s
diana,ˈd j a n a,ˈd j a n a
lacón,l a ˈk o n,l a ˈk o n
extracto,e ɡ s ˈt ɾ a ɡ t o,e ɡ s ˈt ɾ a ɡ t o
apararás,a p a ɾ a ˈɾ a s,a p a ɾ a ˈɾ a s
polirritmia,p o l i ˈr i d m j a,p o l i ˈr i d m j a
decolorados,d e k o l o ˈɾ a d o s,d e k o l o ˈɾ a d o s
sucursalista,s u k u ɾ s a ˈl i s t a,s u k u ɾ s a ˈl i s t a
singular,s i n ɡ u ˈl a ɾ,s i n ɡ u ˈl a ɾ
influjo,i n ˈf l u x o,i n ˈf l u x o
dietilo,d j e ˈt i l o,d j e ˈt i l o
abate,a ˈb a t e,a ˈb a t e
tricotaren,t ɾ i k o ˈt a ɾ e n,t ɾ i k o ˈt a ɾ e n
abaluartar,a b a l w a ɾ ˈt a ɾ,a b a l w a ɾ ˈt a ɾ
desprotegida,d e s p ɾ o t e ˈx i d a,d e s p ɾ o t e ˈx i d a
sublimado,s u b l i ˈm a d o,s u b l i ˈm a d o
coordinadas,k o o ɾ d i ˈn a d a s,k o o ɾ d i ˈn a d a s
detergidas,d e t e ɾ ˈx i d a s,d e t e ɾ ˈx i d a s
afluir,a ˈf l w i ɾ,a ˈf l w i ɾ
frentista,f ɾ e n ˈt i s t a,f ɾ e n ˈt i s t a
limpiador,l i m p j a ˈd o ɾ,l i m p j a ˈd o ɾ
remoloneada,r e m o l o n e ˈa d a,r e m o l o n e ˈa d a
petipuá,p e t i ˈp w a,p e t i ˈp w a
has,ˈa s,ˈa s
tético,ˈt e t i k o,ˈt e t i k o
arbitramento,a ɾ b i t ɾ a ˈm e n t o,a ɾ b i t ɾ a ˈm e n t o
presentes,p ɾ e ˈs e n t e s,p ɾ e ˈs e n t e s
añadir,a ɲ a ˈd i ɾ,a ɲ a ˈd i ɾ
Némesis,ˈn e m e s i s,ˈn e m e s i s
fosforosa,f o s f o ˈɾ o s a,f o s f o ˈɾ o s a
mensurar,m e n s u ˈɾ a ɾ,m e n s u ˈɾ a ɾ
chaquetita,t͡ʃ a k e ˈt i t a,t͡ʃ a k e ˈt i t a
copada,k o ˈp a d a,k o ˈp a d a
arraigado,a r a i ˈɡ a d o,a r a i ˈɡ a d o
consultaremos,k o n s u l t a ˈɾ e m o s,k o n s u l t a ˈɾ e m o s
estruja,e s ˈt ɾ u x a,e s ˈt ɾ u x a
provicario,p ɾ o b i ˈk a ɾ j o,p ɾ o b i ˈk a ɾ j o
Argentina,a ɾ x e n ˈt i n a,a ɾ x e n ˈt i n a
trilema,t ɾ i ˈl e m a,t ɾ i ˈl e m a
brie,ˈb ɾ i,ˈb ɾ i
cosmópolis,k o s ˈm o p o l i s,k o s ˈm o p o l i s
kineses,k i ˈn e s e s,k i ˈn e s e s
afirmemos,a f i ɾ ˈm e m o s,a f i ɾ ˈm e m o s
psicoterapias,s i k o t e ˈɾ a p j a s,s i k o t e ˈɾ a p j a s
pun,ˈp u n,ˈp u n
legítima,l e ˈx i t i m a,l e ˈx i t i m a
rabiada,r a ˈb j a d a,r a ˈb j a d a
fonda,ˈf o n d a,ˈf o n d a
díganla,ˈd i ɡ a n l a,ˈd i ɡ a n l a
alboreada,a l b o ɾ e ˈa d a,a l b o ɾ e ˈa d a
mentirosa,m e n t i ˈɾ o s a,m e n t i ˈɾ o s a
matas,ˈm a t a s,ˈm a t a s
radiculopatías,r a d i k u l o p a ˈt i a s,r a d i k u l o p a ˈt i a s
envainadoras,e m b a i n a ˈd o ɾ a s,e m b a i n a ˈd o ɾ a s
allí,a ˈʝ i,a ˈʝ i
etnologías,e d n o l o ˈx i a s,e d n o l o ˈx i a s
nectáreas,n e ɡ ˈt a ɾ e a s,n e ɡ ˈt a ɾ e a s
coexista,k o e ɡ ˈs i s t a,k o e ɡ ˈs i s t a
italófonos,i t a ˈl o f o n o s,i t a ˈl o f o n o s
sanguinolentos,s a n ɡ i n o ˈl e n t o s,s a n ɡ i n o ˈl e n t o s
indefenso,i n d e ˈf e n s o,i n d e ˈf e n s o
gatear,ɡ a t e ˈa ɾ,ɡ a t e ˈa ɾ
exageres,e ɡ s a ˈx e ɾ e s,e ɡ s a ˈx e ɾ e s
inquisidora,i n k i s i ˈd o ɾ a,i n k i s i ˈd o ɾ a
saquete,s a ˈk e t e,s a ˈk e t e
encarnados,e n k a ɾ ˈn a d o s,e n k a ɾ ˈn a d o s
restauraste,r e s t a u ˈɾ a s t e,r e s t a u ˈɾ a s t e
gráfico,ˈɡ ɾ a f i k o,ˈɡ ɾ a f i k o
pronósticos,p ɾ o ˈn o s t i k o s,p ɾ o ˈn o s t i k o s
resondrar,r e s o n ˈd ɾ a ɾ,r e s o n ˈd ɾ a ɾ
moraste,m o ˈɾ a s t e,m o ˈɾ a s t e
afiebrada,a f j e ˈb ɾ a d a,a f j e ˈb ɾ a d a
fundidas,f u n ˈd i d a s,f u n ˈd i d a s
argumentes,a ɾ ɡ u ˈm e n t e s,a ɾ ɡ u ˈm e n t e s
cánones,ˈk a n o n e s,ˈk a n o n e s
englobadas,e n ɡ l o ˈb a d a s,e n ɡ l o ˈb a d a s
adiando,a ˈd j a n d o,a ˈd j a n d o
argüimos,a ɾ ˈɡ w i m o s,a ɾ ˈɡ w i m o s
biotecnóloga,b j o t e ɡ ˈn o l o ɡ a,b j o t e ɡ ˈn o l o ɡ a
parlas,ˈp a ɾ l a s,ˈp a ɾ l a s
inhabitable,i n a b i ˈt a b l e,i n a b i ˈt a b l e
funicular,f u n i k u ˈl a ɾ,f u n i k u ˈl a ɾ
invernaderos,i m b e ɾ n a ˈd e ɾ o s,i m b e ɾ n a ˈd e ɾ o s
hipovolémicas,i p o b o ˈl e m i k a s,i p o b o ˈl e m i k a s
reparemos,r e p a ˈɾ e m o s,r e p a ˈɾ e m o s
fenghuang,f e n ˈx w a n,f e n ˈx w a n
haríais,a ˈɾ i a i s,a ˈɾ i a i s
endrogado,e n d ɾ o ˈɡ a d o,e n d ɾ o ˈɡ a d o
adehesar,a d e e ˈs a ɾ,a d e e ˈs a ɾ
ronda,ˈr o n d a,ˈr o n d a
próximo,ˈp ɾ o ɡ s i m o,ˈp ɾ o ɡ s i m o
marihuanas,m a ɾ i ˈw a n a s,m a ɾ i ˈw a n a s
estrafalario,e s t ɾ a f a ˈl a ɾ j o,e s t ɾ a f a ˈl a ɾ j o
portera,p o ɾ ˈt e ɾ a,p o ɾ ˈt e ɾ a
diría,d i ˈɾ i a,d i ˈɾ i a
laudados,l a u ˈd a d o s,l a u ˈd a d o s
conejito,k o n e ˈx i t o,k o n e ˈx i t o
toloache,t o l o ˈa t͡ʃ e,t o l o ˈa t͡ʃ e
vestidura,b e s t i ˈd u ɾ a,b e s t i ˈd u ɾ a
endocrino,e n d o ˈk ɾ i n o,e n d o ˈk ɾ i n o
donada,d o ˈn a d a,d o ˈn a d a
reseñada,r e s e ˈɲ a d a,r e s e ˈɲ a d a
venteadas,b e n t e ˈa d a s,b e n t e ˈa d a s
ahechados,a e ˈt͡ʃ a d o s,a e ˈt͡ʃ a d o s
exhalar,e ɡ s a ˈl a ɾ,e ɡ s a ˈl a ɾ
respaldados,r e s p a l ˈd a d o s,r e s p a l ˈd a d o s
abortar,a b o ɾ ˈt a ɾ,a b o ɾ ˈt a ɾ
benigna,b e ˈn i ɡ n a,b e ˈn i ɡ n a
acotolados,a k o t o ˈl a d o s,a k o t o ˈl a d o s
horneadas,o ɾ n e ˈa d a s,o ɾ n e ˈa d a s
sinoestadounidense,s i n o e s t a d o u n i ˈd e n s e,s i n o e s t a d o u n i ˈd e n s e
Tato,ˈt a t o,ˈt a t o
Ybarra,i ˈb a r a,i ˈb a r a
gorrón,ɡ o ˈr o n,ɡ o ˈr o n
desabejar,d e s a b e ˈx a ɾ,d e s a b e ˈx a ɾ
vedarte,b e ˈd a ɾ t e,b e ˈd a ɾ t e
angostados,a n ɡ o s ˈt a d o s,a n ɡ o s ˈt a d o s
hablémoos,a ˈb l e m o o s,a ˈb l e m o o s
rockismo,r o ˈk i s m o,r o ˈk i s m o
suyos,ˈs u ʝ o s,ˈs u ʝ o s
repoblar,r e p o ˈb l a ɾ,r e p o ˈb l a ɾ
tatuada,t a ˈt w a d a,t a ˈt w a d a
protesta,p ɾ o ˈt e s t a,p ɾ o ˈt e s t a
plastificaríamos,p l a s t i f i k a ˈɾ i a m o s,p l a s t i f i k a ˈɾ i a m o s
mercurio,m e ɾ ˈk u ɾ j o,m e ɾ ˈk u ɾ j o
Putumayo,p u t u ˈm a ʝ o,p u t u ˈm a ʝ o
embebidos,e m b e ˈb i d o s,e m b e ˈb i d o s
enjertal,e n x e ɾ ˈt a l,e n x e ɾ ˈt a l
enfriadas,e n ˈf ɾ j a d a s,e n ˈf ɾ j a d a s
estratigrafía,e s t ɾ a t i ɡ ɾ a ˈf i a,e s t ɾ a t i ɡ ɾ a ˈf i a
amaestrados,a m a e s ˈt ɾ a d o s,a m a e s ˈt ɾ a d o s
habrás,a ˈb ɾ a s,a ˈb ɾ a s
prontito,p ɾ o n ˈt i t o,p ɾ o n ˈt i t o
retromandibular,r e t ɾ o m a n d i b u ˈl a ɾ,r e t ɾ o m a n d i b u ˈl a ɾ
guardoso,ɡ w a ɾ ˈd o s o,ɡ w a ɾ ˈd o s o
apabullados,a p a b u ˈʝ a d o s,a p a b u ˈʝ a d o s
antropomórficas,a n t ɾ o p o ˈm o ɾ f i k a s,a n t ɾ o p o ˈm o ɾ f i k a s
inopia,i ˈn o p j a,i ˈn o p j a
lenón,l e ˈn o n,l e ˈn o n
calvito,k a l ˈb i t o,k a l ˈb i t o
anfipáticos,a n f i ˈp a t i k o s,a n f i ˈp a t i k o s
radal,r a ˈd a l,r a ˈd a l
atenido,a t e ˈn i d o,a t e ˈn i d o
alérgeno,a ˈl e ɾ x e n o,a ˈl e ɾ x e n o
comilón,k o m i ˈl o n,k o m i ˈl o n
alegal,a l e ˈɡ a l,a l e ˈɡ a l
gloriareis,ɡ l o ˈɾ j a ɾ e i s,ɡ l o ˈɾ j a ɾ e i s
acondroplasia,a k o n d ɾ o ˈp l a s j a,a k o n d ɾ o ˈp l a s j a
Crono,ˈk ɾ o n o,ˈk ɾ o n o
tripolitano,t ɾ i p o l i ˈt a n o,t ɾ i p o l i ˈt a n o
astrosas,a s ˈt ɾ o s a s,a s ˈt ɾ o s a s
debías,d e ˈb i a s,d e ˈb i a s
abstuviste,a b s t u ˈb i s t e,a b s t u ˈb i s t e
subdividir,s u b d i b i ˈd i ɾ,s u b d i b i ˈd i ɾ
Luis,ˈl w i s,ˈl w i s
obsoleta,o b s o ˈl e t a,o b s o ˈl e t a
esculpida,e s k u l ˈp i d a,e s k u l ˈp i d a
normativismo,n o ɾ m a t i ˈb i s m o,n o ɾ m a t i ˈb i s m o
honores,o ˈn o ɾ e s,o ˈn o ɾ e s
soltamos,s o l ˈt a m o s,s o l ˈt a m o s
abordadas,a b o ɾ ˈd a d a s,a b o ɾ ˈd a d a s
laso,ˈl a s o,ˈl a s o
falisco,f a ˈl i s k o,f a ˈl i s k o
pesqueras,p e s ˈk e ɾ a s,p e s ˈk e ɾ a s
pajúos,p a ˈx u o s,p a ˈx u o s
cantémoslos,k a n ˈt e m o s l o s,k a n ˈt e m o s l o s
lijadas,l i ˈx a d a s,l i ˈx a d a s
atestar,a t e s ˈt a ɾ,a t e s ˈt a ɾ
melotrón,m e l o ˈt ɾ o n,m e l o ˈt ɾ o n
corneadas,k o ɾ n e ˈa d a s,k o ɾ n e ˈa d a s
prologal,p ɾ o l o ˈɡ a l,p ɾ o l o ˈɡ a l
desentender,d e s e n t e n ˈd e ɾ,d e s e n t e n ˈd e ɾ
trasegador,t ɾ a s e ɡ a ˈd o ɾ,t ɾ a s e ɡ a ˈd o ɾ
abaluartares,a b a l w a ɾ ˈt a ɾ e s,a b a l w a ɾ ˈt a ɾ e s
intelectualismo,i n t e l e ɡ t w a ˈl i s m o,i n t e l e ɡ t w a ˈl i s m o
acompañante,a k o m p a ˈɲ a n t e,a k o m p a ˈɲ a n t e
viéndote,ˈb j e n d o t e,ˈb j e n d o t e
pinate,p i ˈn a t e,p i ˈn a t e
auto,ˈa u t o,ˈa u t o
asolada,a s o ˈl a d a,a s o ˈl a d a
alimaña,a l i ˈm a ɲ a,a l i ˈm a ɲ a
libadas,l i ˈb a d a s,l i ˈb a d a s
eritema,e ɾ i ˈt e m a,e ɾ i ˈt e m a
trajinados,t ɾ a x i ˈn a d o s,t ɾ a x i ˈn a d o s
senador,s e n a ˈd o ɾ,s e n a ˈd o ɾ
indómitas,i n ˈd o m i t a s,i n ˈd o m i t a s
rematado,r e m a ˈt a d o,r e m a ˈt a d o
desdoblado,d e s d o ˈb l a d o,d e s d o ˈb l a d o
erre,ˈe r e,ˈe r e
autosaboteados,a u t o s a b o t e ˈa d o s,a u t o s a b o t e ˈa d o s
fiteogeográfico,f i t e o x e o ˈɡ ɾ a f i k o,f i t e o x e o ˈɡ ɾ a f i k o
contactes,k o n ˈt a ɡ t e s,k o n ˈt a ɡ t e s
abaldonases,a b a l d o ˈn a s e s,a b a l d o ˈn a s e s
hemispingo,e m i s ˈp i n ɡ o,e m i s ˈp i n ɡ o
presididos,p ɾ e s i ˈd i d o s,p ɾ e s i ˈd i d o s
copernicanos,k o p e ɾ n i ˈk a n o s,k o p e ɾ n i ˈk a n o s
babosada,b a b o ˈs a d a,b a b o ˈs a d a
inexplicables,i n e ɡ s p l i ˈk a b l e s,i n e ɡ s p l i ˈk a b l e s
aseverado,a s e b e ˈɾ a d o,a s e b e ˈɾ a d o
destocadas,d e s t o ˈk a d a s,d e s t o ˈk a d a s
amurar,a m u ˈɾ a ɾ,a m u ˈɾ a ɾ
anguladas,a n ɡ u ˈl a d a s,a n ɡ u ˈl a d a s
mostrará,m o s t ɾ a ˈɾ a,m o s t ɾ a ˈɾ a
robre,ˈr o b ɾ e,ˈr o b ɾ e
articulado,a ɾ t i k u ˈl a d o,a ɾ t i k u ˈl a d o
sófora,ˈs o f o ɾ a,ˈs o f o ɾ a
explayados,e ɡ s p l a ˈʝ a d o s,e ɡ s p l a ˈʝ a d o s
expansionar,e ɡ s p a n s j o ˈn a ɾ,e ɡ s p a n s j o ˈn a ɾ
bicroma,b i ˈk ɾ o m a,b i ˈk ɾ o m a
histoquímicas,i s t o ˈk i m i k a s,i s t o ˈk i m i k a s
procurares,p ɾ o k u ˈɾ a ɾ e s,p ɾ o k u ˈɾ a ɾ e s
respiras,r e s ˈp i ɾ a s,r e s ˈp i ɾ a s
crocodiliforme,k ɾ o k o d i l i ˈf o ɾ m e,k ɾ o k o d i l i ˈf o ɾ m e
abandonista,a b a n d o ˈn i s t a,a b a n d o ˈn i s t a
endodérmico,e n d o ˈd e ɾ m i k o,e n d o ˈd e ɾ m i k o
investigadoras,i m b e s t i ɡ a ˈd o ɾ a s,i m b e s t i ɡ a ˈd o ɾ a s
extraacadémica,e ɡ s t ɾ a a k a ˈd e m i k a,e ɡ s t ɾ a a k a ˈd e m i k a
yaracuyano,ʝ a ɾ a k u ˈʝ a n o,ʝ a ɾ a k u ˈʝ a n o
ahondada,a o n ˈd a d a,a o n ˈd a d a
avasallados,a b a s a ˈʝ a d o s,a b a s a ˈʝ a d o s
animaras,a n i ˈm a ɾ a s,a n i ˈm a ɾ a s
lubrificá,l u b ɾ i f i ˈk a,l u b ɾ i f i ˈk a
liberta,l i ˈb e ɾ t a,l i ˈb e ɾ t a
guitarra,ɡ i ˈt a r a,ɡ i ˈt a r a
mártaga,ˈm a ɾ t a ɡ a,ˈm a ɾ t a ɡ a
cartografiados,k a ɾ t o ɡ ɾ a ˈf j a d o s,k a ɾ t o ɡ ɾ a ˈf j a d o s
reflectadas,r e f l e ɡ ˈt a d a s,r e f l e ɡ ˈt a d a s
costoso,k o s ˈt o s o,k o s ˈt o s o
troglodítica,t ɾ o ɡ l o ˈd i t i k a,t ɾ o ɡ l o ˈd i t i k a
pastito,p a s ˈt i t o,p a s ˈt i t o
dihueñe,d i ˈw e ɲ e,d i ˈw e ɲ e
huaca,ˈw̝ a k a,ˈw̝ a k a
nigroestriados,n i ɡ ɾ o e s ˈt ɾ j a d o s,n i ɡ ɾ o e s ˈt ɾ j a d o s
otaku,o ˈt a k u,o ˈt a k u
confortamos,k o n f o ɾ ˈt a m o s,k o n f o ɾ ˈt a m o s
involutivos,i m b o l u ˈt i b o s,i m b o l u ˈt i b o s
sedes,ˈs e d e s,ˈs e d e s
búlgara,ˈb u l ɡ a ɾ a,ˈb u l ɡ a ɾ a
skopiote,e s k o ˈp j o t e,e s k o ˈp j o t e
microendémico,m i k ɾ o e n ˈd e m i k o,m i k ɾ o e n ˈd e m i k o
trasliteradas,t ɾ a s l i t e ˈɾ a d a s,t ɾ a s l i t e ˈɾ a d a s
neoplateresco,n e o p l a t e ˈɾ e s k o,n e o p l a t e ˈɾ e s k o
decretadas,d e k ɾ e ˈt a d a s,d e k ɾ e ˈt a d a s
reverberaréis,r e b e ɾ b e ɾ a ˈɾ e i s,r e b e ɾ b e ɾ a ˈɾ e i s
limada,l i ˈm a d a,l i ˈm a d a
pyme,ˈp i m e,ˈp i m e
anglocatólica,a n ɡ l o k a ˈt o l i k a,a n ɡ l o k a ˈt o l i k a
regeneras,r e x e ˈn e ɾ a s,r e x e ˈn e ɾ a s
bebería,b e b e ˈɾ i a,b e b e ˈɾ i a
aparado,a p a ˈɾ a d o,a p a ˈɾ a d o
bonificadas,b o n i f i ˈk a d a s,b o n i f i ˈk a d a s
pocheadas,p o t͡ʃ e ˈa d a s,p o t͡ʃ e ˈa d a s
ufanados,u f a ˈn a d o s,u f a ˈn a d o s
mate,ˈm a t e,ˈm a t e
persistidas,p e ɾ s i s ˈt i d a s,p e ɾ s i s ˈt i d a s
enfurruñados,e n f u r u ˈɲ a d o s,e n f u r u ˈɲ a d o s
tabicadas,t a b i ˈk a d a s,t a b i ˈk a d a s
connatural,k o n n a t u ˈɾ a l,k o n n a t u ˈɾ a l
desvividas,d e s b i ˈb i d a s,d e s b i ˈb i d a s
demolidos,d e m o ˈl i d o s,d e m o ˈl i d o s
ateísmo,a t e ˈi s m o,a t e ˈi s m o
alcapurria,a l k a ˈp u r j a,a l k a ˈp u r j a
abaldóneles,a b a l ˈd o n e l e s,a b a l ˈd o n e l e s
psicosomático,s i k o s o ˈm a t i k o,s i k o s o ˈm a t i k o
donas,ˈd o n a s,ˈd o n a s
lapo,ˈl a p o,ˈl a p o
enumerado,e n u m e ˈɾ a d o,e n u m e ˈɾ a d o
protesto,p ɾ o ˈt e s t o,p ɾ o ˈt e s t o
trebolito,t ɾ e b o ˈl i t o,t ɾ e b o ˈl i t o
abrevadero,a b ɾ e b a ˈd e ɾ o,a b ɾ e b a ˈd e ɾ o
impulsivas,i m p u l ˈs i b a s,i m p u l ˈs i b a s
aquilón,a k i ˈl o n,a k i ˈl o n
desolladora,d e s o ʝ a ˈd o ɾ a,d e s o ʝ a ˈd o ɾ a
palladiano,p a ʝ a ˈd j a n o,p a ʝ a ˈd j a n o
abacoraseis,a b a k o ˈɾ a s e i s,a b a k o ˈɾ a s e i s
salón,s a ˈl o n,s a ˈl o n
susurrar,s u s u ˈr a ɾ,s u s u ˈr a ɾ
sicofanta,s i k o ˈf a n t a,s i k o ˈf a n t a
playeras,p l a ˈʝ e ɾ a s,p l a ˈʝ e ɾ a s
ey,ˈe i,ˈe i
deleitadas,d e l e i ˈt a d a s,d e l e i ˈt a d a s
hubiese,u ˈb j e s e,u ˈb j e s e
humita,u ˈm i t a,u ˈm i t a
disuadida,d i s w a ˈd i d a,d i s w a ˈd i d a
actitudinal,a ɡ t i t u d i ˈn a l,a ɡ t i t u d i ˈn a l
astragalinos,a s t ɾ a ɡ a ˈl i n o s,a s t ɾ a ɡ a ˈl i n o s
samba,ˈs a m b a,ˈs a m b a
indisimulada,i n d i s i m u ˈl a d a,i n d i s i m u ˈl a d a
abandonamiento,a b a n d o n a ˈm j e n t o,a b a n d o n a ˈm j e n t o
vagaríamos,b a ɡ a ˈɾ i a m o s,b a ɡ a ˈɾ i a m o s
hipoclorador,i p o k l o ɾ a ˈd o ɾ,i p o k l o ɾ a ˈd o ɾ
enherbolar,e n e ɾ b o ˈl a ɾ,e n e ɾ b o ˈl a ɾ
aminopeptidasa,a m i n o p e b t i ˈd a s a,a m i n o p e b t i ˈd a s a
propendida,p ɾ o p e n ˈd i d a,p ɾ o p e n ˈd i d a
recurvadas,r e k u ɾ ˈb a d a s,r e k u ɾ ˈb a d a s
égloga,ˈe ɡ l o ɡ a,ˈe ɡ l o ɡ a
acholados,a t͡ʃ o ˈl a d o s,a t͡ʃ o ˈl a d o s
debámosla,d e ˈb a m o s l a,d e ˈb a m o s l a
polígloto,p o ˈl i ɡ l o t o,p o ˈl i ɡ l o t o
respiré,r e s p i ˈɾ e,r e s p i ˈɾ e
socarronería,s o k a r o n e ˈɾ i a,s o k a r o n e ˈɾ i a
carpinteril,k a ɾ p i n t e ˈɾ i l,k a ɾ p i n t e ˈɾ i l
destituidos,d e s t i ˈt w i d o s,d e s t i ˈt w i d o s
bregue,ˈb ɾ e ɡ e,ˈb ɾ e ɡ e
bohrio,ˈb o ɾ j o,ˈb o ɾ j o
metra,ˈm e t ɾ a,ˈm e t ɾ a
angloamericanas,a n ɡ l o a m e ɾ i ˈk a n a s,a n ɡ l o a m e ɾ i ˈk a n a s
intentada,i n t e n ˈt a d a,i n t e n ˈt a d a
michoacanos,m i t͡ʃ o a ˈk a n o s,m i t͡ʃ o a ˈk a n o s
audible,a u ˈd i b l e,a u ˈd i b l e
pedorreadas,p e d o r e ˈa d a s,p e d o r e ˈa d a s
multitudinaria,m u l t i t u d i ˈn a ɾ j a,m u l t i t u d i ˈn a ɾ j a
igualado,i ɡ w a ˈl a d o,i ɡ w a ˈl a d o
paremos,p a ˈɾ e m o s,p a ˈɾ e m o s
minicomponente,m i n i k o m p o ˈn e n t e,m i n i k o m p o ˈn e n t e
substitutivo,s u b s t i t u ˈt i b o,s u b s t i t u ˈt i b o
cantándoles,k a n ˈt a n d o l e s,k a n ˈt a n d o l e s
piados,ˈp j a d o s,ˈp j a d o s
pinball,ˈp i m b a l,ˈp i m b a l
voltaicos,b o l ˈt a i k o s,b o l ˈt a i k o s
tajantemente,t a ˌx a n t e ˈm e n t e,t a ˌx a n t e ˈm e n t e
ánsara,ˈa n s a ɾ a,ˈa n s a ɾ a
alumbre,a ˈl u m b ɾ e,a ˈl u m b ɾ e
pedrisco,p e ˈd ɾ i s k o,p e ˈd ɾ i s k o
flojo,ˈf l o x o,ˈf l o x o
grande,ˈɡ ɾ a n d e,ˈɡ ɾ a n d e
perfume,p e ɾ ˈf u m e,p e ɾ ˈf u m e
Ximena,x i ˈm e n a,x i ˈm e n a
conuco,k o ˈn u k o,k o ˈn u k o
mangoneada,m a n ɡ o n e ˈa d a,m a n ɡ o n e ˈa d a
régimen,ˈr e x i m e n,ˈr e x i m e n
abacoraremos,a b a k o ɾ a ˈɾ e m o s,a b a k o ɾ a ˈɾ e m o s
calibrada,k a l i ˈb ɾ a d a,k a l i ˈb ɾ a d a
autoantónimo,a u t o a n ˈt o n i m o,a u t o a n ˈt o n i m o
pendejeadas,p e n d e x e ˈa d a s,p e n d e x e ˈa d a s
tests,ˈt e s t s,ˈt e s t s
bala,ˈb a l a,ˈb a l a
carintia,k a ˈɾ i n t j a,k a ˈɾ i n t j a
Alexópulos,a l e ɡ ˈs o p u l o s,a l e ɡ ˈs o p u l o s
caudillo,k a u ˈd i ʝ o,k a u ˈd i ʝ o
corte,ˈk o ɾ t e,ˈk o ɾ t e
nasosinusales,n a s o s i n u ˈs a l e s,n a s o s i n u ˈs a l e s
metronómico,m e t ɾ o ˈn o m i k o,m e t ɾ o ˈn o m i k o
vestido,b e s ˈt i d o,b e s ˈt i d o
